barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
5813;2018-08-07;;FING;;;44;FING;"The science and engineering of materials.";"Askeland, Donald R.";9780495668022
5815;2018-08-07;;FING;;;42;FING;"Physical medicine and rehabilitation.";"Braddom, Randall";9781437708844
5817;2018-08-07;;FING;;;59;FING;"Tratado contra el método :";"Feyerabend, Paul";9788430946082
5819;2018-08-07;;FING;;;59;FING;"Historia de la ciencia y sus reconstrucciones racionales.";"Lakatos, Imre";9788430951581
5820;2018-08-07;;FING;;;15;FING;"A student's guide to Maxwell's equations.";"Fleisch, Daniel";9780521701471
5823;2018-08-07;;FING;;;38;FING;"Risk management in health care institutions :";"Kavaler, Florence";0763723142
5836;2018-08-07;;FING;;;99;FING;"La escuela como práctica política.";"Brenner, Miguel Ángel";9789872743307
5837;2018-08-07;;FING;;;99;FING;"La escuela como práctica política.";"Brenner, Miguel Ángel";9789872743314
5841;2018-08-07;;FING;;;11;FING;"La estática en la vida cotidiana.";"Noceti, Haydeé";9789500007962
5849;2018-08-07;;FING;;;80;FING;"Medicinal chemistry.";"Thomas, Gareth";9780470025987
5852;2018-08-07;;FING;;;46;FING;"Why does E=mc2? :";"Cox, Brian";9780306818769
5854;2018-08-07;;FING;;;3;FING;"Molecular genetics of bacteria.";"Dale, Jeremy W.";9780470741856
5857;2018-08-07;;FING;;;42;FING;"Handbook of neural engineering /";;9780470056691
5879;2018-08-07;;FING;;;47;FING;"Computer vision and applications :";"Jähne, Bernd";0123797772
5889;2018-08-07;;FING;;;51;FING;"Embedded robotics :";"Bräunl, Thomas";9783540705338
5890;2018-08-07;;FING;;;45;FING;"Image processing in radiology.";"Neri, E.";9783642065286
5891;2018-08-07;;FING;;;80;FING;"Drug testing :";"Coombs, Robert H.";0195054148
5893;2018-08-07;;FING;;;52;FING;"Servucción :";"Eiglier, Pierre";8476153279
5896;2018-08-07;;FING;;;49;FING;"Economía de la salud :";"Gimeno, Juan A.";8479787333
5900;2018-08-07;;FING;;;57;FING;"Identidad de género. Muerte digna :";"Medina, Graciela";
5923;2018-08-07;;FING;;;63;FING;"Anuario de estadísticas universitarias 2009.";"Curti, Celina";
5924;2018-08-07;;FING;;;63;FING;"Anuario 2010-2011.";;
5925;2018-08-07;;FING;;;63;FING;"Anuario 2011.2012.";;
5926;2018-08-07;;FING;;;99;FING;"Educational administration :";"Lunenburg, Fred C.";0534608825
5927;2018-08-07;;FING;;;55;FING;"Electromedicina :";"Daneri, Pablo A.";9789505282791
5930;2018-08-07;;FING;;;48;FING;Bioestadística.;"Blair, R. Clifford";9789702611967
5931;2018-08-07;;FING;;;5;FING;"Biología molecular del gen.";"Watson, James D.";9788479035051
5932;2018-08-07;;FING;;;42;FING;"Implantes cocleares.";"Manrique Rodríguez, Manuel J.";8445811495
5933;2018-08-07;;FING;;;20;FING;"El proceso unificado de desarrollo de software.";"Jacobson, Ivar";9788478290369
5936;2018-08-07;;FING;;;37;FING;"Contaminación y medio ambiente.";"Cicerone, Daniel S.";9789502314891
5939;2018-08-07;;FING;;;42;FING;"Reliable design of medical devices.";"Fries, Richard C.";9781439894910
5940;2018-08-07;;FING;;;55;FING;"Noninvasive instrumentation and measurement in medical diagnosis.";"Northrop, Robert B.";0849309611
5941;2018-08-07;;FING;;;30;FING;"Analysis and application of analog electronic circuits to biomedical instrumentation.";"Northrop, Robert B.";9781439866696
5942;2018-08-07;;FING;;;44;FING;"Implante de prótesis y biomateriales en urología.";"Puscinski, Alberto José";9789872731991
5943;2018-08-07;;FING;;;33;FING;"Introducción al modelado numérico de flujos reactivos.";"Brizuela, Eduardo A.";9789503407554
5944;2018-08-07;;FING;;;21;FING;"Cálculo de varias variables :";"Stewart, James";9789706866523
5945;2018-08-07;;FING;;;1;FING;"Biología :";"Starr, Cecie";9789708300667
5946;2018-08-07;;FING;;;11;FING;"Fundamentos de física.";"Serway, Raymond A.";9786074811308
5947;2018-08-07;;FING;;;6;FING;"Química general.";"Ebbing, Darrell D.";9786074813067
5948;2018-08-07;;FING;;;47;FING;"Control de calidad en imágenes médicas de tomografía computada e incidencia de algunos aspectos económicos del proceso.";"Delicia, Pablo Javier";9789872892906
5951;2018-08-07;;FING;;;44;FING;"Smart polymers :";"Galaev, Igor";9780849391613
5952;2018-08-07;;FING;;;44;FING;"Biomaterials :";"Ramakrishna, Seeram";9781420047813
