barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
1882;2018-08-07;;FING;;;54;FING;"Teaching engineering science mathematics :";"Skilling, Hugh Hildreth";0882754610
1879;2018-08-07;;FING;;;54;FING;"Teaching engineering science mathematics :";"Skilling, Hugh Hildreth";0882754610
2143;2018-08-07;;FING;;;59;FING;"Las ciencias sociales en América Latina :";;
1914;2018-08-07;;FING;;;59;FING;"Notes on science, technology and science education in the development of the south.";"Salam, Abdus";
3018;2018-08-07;;FING;;;54;FING;"Curriculum universitario siglo XXI.";"Torres, Carlos";9506980012
1852;2018-08-07;;FING;;;54;FING;"Teaching engineering:a beginner's guide.";"Gupta, Madhu S.";0879422343
1905;2018-08-07;;FING;;;54;FING;"Calidad de la docencia universitaria en América Latina y el Caribe :";"[González Fiegehen, Luis Eduardo]";
3351;2018-08-07;;FING;;;54;FING;"Gestión universitaria.";"Ortiz Castillo, Félix";
1907;2018-08-07;;FING;;;54;FING;"Posgrado y desarrollo en América Latina.";"Villegas, Abelardo";9686802002
2942;2018-08-07;;FING;;;54;FING;"¿Cuanto vale estudiar un postgrado en América Latina?.";"Franco Arbeláez, Augusto";
3294;2018-08-07;;FING;;;54;FING;"Diagnóstico sobre demanda futura de ingenieros.";"Fuchs, Mariana";
1910;2018-08-07;;FING;;;54;FING;"La universidad en la encrucijada.";"Villegas, Abelardo";
2142;2018-08-07;;FING;;;54;FING;"Universidad y desarrollo regional :";;
2141;2018-08-07;;FING;;;54;FING;"Universidad, gobierno y empresa regionales.";;
4309;2018-08-07;;FING;;;54;FING;"Gestión de las universidades.";"Sonderéguer, María";
3789;2018-08-07;;FING;;;7;FING;"Infecciones pleuropulmonares.";"Gonzalez Montaner, Luis J.";9879862848
3792;2018-08-07;;FING;;;61;FING;"La sexualidad de los adolescentes :";"Facio, Alicia";9506980926
3791;2018-08-07;;FING;;;59;FING;"Resoluciones de la Universidad de Buenos Aires para la transferencia de tecnología.";;
3794;2018-08-07;;FING;;;5;FING;"Texto ilustrado de biología molecular e ingeniería genética :";"Luque Cabrera, José";8481745057
